Property_ID,District,Locality,Area_Type,Property_Type,Area_sqft,BHK,Bathrooms,Property_Age_Years,Parking_Spaces,Furnishing,Floor,Distance_to_City_Center_km,Road_Access,Gated_Community,Price_INR,Research_Anchor_Rate_INR_per_sqft,Price_Data_Type
KHP100700,Ernakulam,Perumbavoor,Semi-Urban,Independent House,3712,5,5,6,3,Semi-Furnished,1,4.3,Local Road,No,14200000,3600,Research-informed synthetic estimate
KHP100701,Malappuram,Tirur,Rural,Apartment,3726,5,5,9,1,Fully Furnished,6,10.6,Local Road,No,14820000,4200,Research-informed synthetic estimate
KHP100702,Wayanad,Vythiri,Semi-Urban,Residential Plot,1187,2,2,24,3,Semi-Furnished,1,2.5,Local Road,No,4490000,4700,Research-informed synthetic estimate
KHP100703,Pathanamthitta,Thiruvalla,Rural,Independent House,1749,3,3,21,1,Semi-Furnished,1,5.4,Local Road,No,5570000,4700,Research-informed synthetic estimate
KHP100704,Thrissur,Naikkanal,Semi-Urban,Apartment,675,1,1,27,0,Semi-Furnished,1,4.8,Local Road,No,2820000,5300,Research-informed synthetic estimate
KHP100705,Malappuram,Ponnani,Semi-Urban,Apartment,3784,6,5,26,0,Semi-Furnished,7,1.1,Local Road,No,12060000,3500,Research-informed synthetic estimate
KHP100706,Kasaragod,Kanhangad,Rural,Apartment,3909,6,5,5,2,Semi-Furnished,4,0.7,Main Road,No,16850000,3500,Research-informed synthetic estimate
KHP100707,Kottayam,Manarcadu,Rural,Residential Plot,1362,3,3,6,2,Fully Furnished,0,2.3,Narrow Road,No,3340000,3600,Research-informed synthetic estimate
KHP100708,Ernakulam,Thevakkal,Rural,Villa,2491,5,5,2,1,Unfurnished,1,2.6,Main Road,No,12530000,5400,Research-informed synthetic estimate
KHP100709,Kozhikode,Thondayad,Semi-Urban,Apartment,1216,3,3,23,2,Semi-Furnished,3,5.0,Main Road,Yes,6550000,5000,Research-informed synthetic estimate
KHP100710,Pathanamthitta,Ranni,Rural,Independent House,1761,1,1,18,1,Semi-Furnished,2,1.5,Highway Access,No,4010000,3000,Research-informed synthetic estimate
KHP100711,Malappuram,Kottakkal,Rural,Villa,2413,3,3,11,2,Unfurnished,2,2.7,Highway Access,No,9990000,4400,Research-informed synthetic estimate
KHP100712,Ernakulam,Kakkanad,Rural,Independent House,3311,6,5,20,1,Unfurnished,1,2.5,Local Road,No,18200000,6500,Research-informed synthetic estimate
KHP100713,Thrissur,Kuttanellur,Rural,Residential Plot,3080,6,5,0,2,Unfurnished,2,4.4,Highway Access,No,17430000,5500,Research-informed synthetic estimate
KHP100714,Kottayam,Pala,Semi-Urban,Residential Plot,1597,1,1,21,1,Unfurnished,1,5.0,Main Road,No,4240000,4200,Research-informed synthetic estimate
KHP100715,Ernakulam,Palarivattom,Urban,Independent House,3538,6,5,2,2,Semi-Furnished,2,0.6,Main Road,No,31220000,7500,Research-informed synthetic estimate
KHP100716,Pathanamthitta,Adoor,Semi-Urban,Apartment,1029,2,1,30,3,Semi-Furnished,1,3.9,Main Road,No,3740000,3900,Research-informed synthetic estimate
KHP100717,Ernakulam,Marine Drive,Urban,Residential Plot,3977,6,5,27,2,Unfurnished,1,2.0,Narrow Road,No,41030000,12500,Research-informed synthetic estimate
KHP100718,Pathanamthitta,Ranni,Rural,Villa,2582,3,3,23,3,Fully Furnished,2,5.8,Local Road,No,7260000,3000,Research-informed synthetic estimate
KHP100719,Thiruvananthapuram,Kazhakoottam,Rural,Residential Plot,1803,2,2,2,3,Semi-Furnished,0,3.9,Local Road,No,8070000,6800,Research-informed synthetic estimate
KHP100720,Palakkad,Pattambi,Semi-Urban,Independent House,2176,4,4,20,0,Semi-Furnished,1,5.3,Main Road,No,6590000,3000,Research-informed synthetic estimate
KHP100721,Palakkad,Mannarkkad,Rural,Apartment,3623,5,5,0,1,Semi-Furnished,4,2.3,Local Road,Yes,11950000,2800,Research-informed synthetic estimate
KHP100722,Kollam,Kottarakkara,Semi-Urban,Independent House,1772,2,2,13,2,Semi-Furnished,2,11.9,Main Road,No,5420000,3400,Research-informed synthetic estimate
KHP100723,Wayanad,Sulthan Bathery,Semi-Urban,Apartment,2102,3,2,14,0,Unfurnished,1,3.6,Highway Access,No,8110000,3900,Research-informed synthetic estimate
KHP100724,Idukki,Thodupuzha,Rural,Independent House,2923,4,4,1,2,Unfurnished,0,3.7,Main Road,No,10180000,3900,Research-informed synthetic estimate
KHP100725,Pathanamthitta,Ranni,Rural,Apartment,1422,2,2,15,0,Unfurnished,6,4.9,Local Road,Yes,3110000,3000,Research-informed synthetic estimate
KHP100726,Alappuzha,Ambalappuzha,Semi-Urban,Independent House,1768,3,3,15,1,Fully Furnished,2,2.1,Local Road,Yes,5890000,3400,Research-informed synthetic estimate
KHP100727,Idukki,Thodupuzha,Semi-Urban,Apartment,2437,4,4,5,0,Unfurnished,5,5.6,Narrow Road,No,8390000,3900,Research-informed synthetic estimate
KHP100728,Thrissur,Punkunnam,Semi-Urban,Independent House,1868,3,3,1,0,Unfurnished,2,6.6,Main Road,Yes,9180000,5500,Research-informed synthetic estimate
KHP100729,Ernakulam,Muvattupuzha,Rural,Villa,3080,5,5,28,1,Semi-Furnished,1,3.0,Main Road,Yes,12220000,3700,Research-informed synthetic estimate
KHP100730,Kozhikode,Nellikode,Semi-Urban,Apartment,3538,5,5,9,0,Unfurnished,2,1.1,Highway Access,No,19110000,4500,Research-informed synthetic estimate
KHP100731,Kollam,Karunagappally,Rural,Residential Plot,3025,3,3,22,1,Unfurnished,0,1.2,Narrow Road,No,7380000,3800,Research-informed synthetic estimate
KHP100732,Thrissur,Mannuthy,Semi-Urban,Residential Plot,3879,6,5,17,0,Semi-Furnished,0,1.5,Main Road,No,13600000,4000,Research-informed synthetic estimate
KHP100733,Palakkad,Shoranur,Semi-Urban,Independent House,2952,4,3,26,1,Semi-Furnished,2,12.7,Main Road,No,7630000,3100,Research-informed synthetic estimate
KHP100734,Idukki,Painavu,Rural,Apartment,1949,3,3,28,0,Semi-Furnished,2,3.6,Main Road,No,4320000,2600,Research-informed synthetic estimate
KHP100735,Thiruvananthapuram,Attingal,Semi-Urban,Independent House,1718,3,2,6,0,Fully Furnished,1,8.4,Local Road,No,6180000,3900,Research-informed synthetic estimate
KHP100736,Kottayam,Kanjirappally,Rural,Apartment,4038,6,5,0,2,Semi-Furnished,7,2.2,Local Road,No,14620000,3000,Research-informed synthetic estimate
KHP100737,Wayanad,Panamaram,Rural,Apartment,3676,6,5,1,0,Semi-Furnished,5,3.7,Local Road,No,13160000,2900,Research-informed synthetic estimate
KHP100738,Kottayam,Changanassery,Semi-Urban,Independent House,3568,5,5,9,2,Unfurnished,2,5.6,Main Road,Yes,14200000,4300,Research-informed synthetic estimate
KHP100739,Thrissur,Muthuvattoor,Rural,Apartment,2129,4,4,26,1,Unfurnished,4,4.9,Narrow Road,No,4330000,3500,Research-informed synthetic estimate
KHP100740,Alappuzha,Ambalappuzha,Semi-Urban,Apartment,2512,3,2,27,0,Unfurnished,2,7.6,Main Road,Yes,6710000,3400,Research-informed synthetic estimate
KHP100741,Kottayam,Vaikom,Semi-Urban,Independent House,1310,2,2,17,0,Unfurnished,2,10.5,Local Road,No,3460000,3500,Research-informed synthetic estimate
KHP100742,Kottayam,Changanassery,Semi-Urban,Residential Plot,2677,4,4,10,0,Fully Furnished,1,6.3,Main Road,No,9050000,4300,Research-informed synthetic estimate
KHP100743,Kasaragod,Cheruvathur,Rural,Independent House,2249,4,4,22,0,Unfurnished,2,4.4,Main Road,Yes,5460000,2900,Research-informed synthetic estimate
KHP100744,Kottayam,Kumarakom,Semi-Urban,Residential Plot,2297,4,4,12,1,Semi-Furnished,0,5.0,Main Road,No,15110000,6500,Research-informed synthetic estimate
KHP100745,Kannur,Kannur Town,Urban,Apartment,1127,3,3,28,1,Unfurnished,3,1.0,Local Road,No,4300000,4500,Research-informed synthetic estimate
KHP100746,Malappuram,Manjeri,Semi-Urban,Independent House,2528,4,4,2,1,Fully Furnished,1,13.6,Main Road,No,11350000,4300,Research-informed synthetic estimate
KHP100747,Ernakulam,Thrippunithura,Semi-Urban,Independent House,3084,5,4,14,1,Unfurnished,2,4.0,Main Road,No,18010000,6000,Research-informed synthetic estimate
KHP100748,Kozhikode,Cyberpark,Rural,Residential Plot,4009,6,5,8,0,Semi-Furnished,0,4.4,Main Road,Yes,17110000,5000,Research-informed synthetic estimate
KHP100749,Palakkad,Shoranur,Rural,Independent House,972,2,2,18,0,Unfurnished,2,6.3,Main Road,No,2090000,3100,Research-informed synthetic estimate
KHP100750,Kottayam,Vaikom,Rural,Independent House,979,1,1,2,0,Fully Furnished,1,5.3,Main Road,No,2790000,3500,Research-informed synthetic estimate
KHP100751,Kottayam,Kottayam Town,Urban,Residential Plot,3404,6,5,30,0,Semi-Furnished,0,10.5,Local Road,No,12800000,5200,Research-informed synthetic estimate
KHP100752,Wayanad,Meppadi,Semi-Urban,Residential Plot,2192,3,3,26,1,Semi-Furnished,2,2.7,Main Road,No,4450000,3300,Research-informed synthetic estimate
KHP100753,Kottayam,Kanjirappally,Rural,Independent House,3221,5,5,17,0,Semi-Furnished,2,1.7,Local Road,Yes,9090000,3000,Research-informed synthetic estimate
KHP100754,Thiruvananthapuram,Pattom,Urban,Villa,1292,2,1,25,0,Unfurnished,2,4.9,Local Road,No,7160000,7200,Research-informed synthetic estimate
KHP100755,Wayanad,Kalpetta,Semi-Urban,Apartment,711,2,2,1,1,Semi-Furnished,0,8.1,Local Road,No,2920000,4300,Research-informed synthetic estimate
KHP100756,Idukki,Kumily,Rural,Independent House,3251,6,5,24,2,Fully Furnished,0,1.1,Local Road,Yes,11020000,3400,Research-informed synthetic estimate
KHP100757,Thrissur,Kunnamkulam,Semi-Urban,Independent House,1490,2,2,7,2,Unfurnished,2,8.7,Narrow Road,No,3760000,3500,Research-informed synthetic estimate
KHP100758,Kollam,Kavanad,Rural,Independent House,3354,6,5,15,0,Semi-Furnished,1,2.4,Main Road,No,16350000,5000,Research-informed synthetic estimate
KHP100759,Kozhikode,Vellayil,Semi-Urban,Independent House,2225,4,4,28,3,Semi-Furnished,0,9.2,Main Road,No,14350000,7100,Research-informed synthetic estimate
KHP100760,Malappuram,Tirur,Semi-Urban,Villa,4184,6,5,5,1,Semi-Furnished,0,6.1,Local Road,No,17090000,4200,Research-informed synthetic estimate
KHP100761,Malappuram,Nilambur,Rural,Apartment,3575,4,4,6,2,Unfurnished,3,11.2,Local Road,No,10460000,3300,Research-informed synthetic estimate
KHP100762,Wayanad,Sulthan Bathery,Semi-Urban,Independent House,2087,3,2,20,0,Unfurnished,0,3.2,Local Road,Yes,6700000,3900,Research-informed synthetic estimate
KHP100763,Idukki,Nedumkandam,Rural,Residential Plot,3393,6,5,12,0,Unfurnished,1,2.5,Narrow Road,No,5940000,2700,Research-informed synthetic estimate
KHP100764,Thiruvananthapuram,Neyyattinkara,Semi-Urban,Independent House,3138,6,5,26,0,Semi-Furnished,2,16.5,Main Road,No,10040000,4200,Research-informed synthetic estimate
KHP100765,Ernakulam,Kadavanthra,Urban,Villa,2827,3,3,11,0,Unfurnished,2,5.4,Main Road,No,26290000,9000,Research-informed synthetic estimate
KHP100766,Alappuzha,Chengannur,Semi-Urban,Apartment,1665,3,3,29,2,Fully Furnished,7,2.0,Local Road,No,6470000,4300,Research-informed synthetic estimate
KHP100767,Alappuzha,Muhamma,Semi-Urban,Independent House,2240,5,5,10,0,Semi-Furnished,0,3.4,Main Road,No,8340000,4000,Research-informed synthetic estimate
KHP100768,Wayanad,Vythiri,Semi-Urban,Independent House,2546,4,3,0,3,Fully Furnished,2,6.6,Local Road,No,14150000,4700,Research-informed synthetic estimate
KHP100769,Idukki,Nedumkandam,Rural,Independent House,1541,3,3,14,1,Fully Furnished,1,1.2,Main Road,No,4050000,2700,Research-informed synthetic estimate
KHP100770,Wayanad,Ambalavayal,Semi-Urban,Independent House,1174,2,2,10,1,Semi-Furnished,0,17.7,Main Road,No,3690000,3200,Research-informed synthetic estimate
KHP100771,Kasaragod,Hosdurg,Rural,Independent House,1451,2,1,9,0,Semi-Furnished,2,6.1,Local Road,No,3110000,3300,Research-informed synthetic estimate
KHP100772,Malappuram,Kottakkal,Semi-Urban,Apartment,929,1,1,20,1,Unfurnished,3,4.8,Local Road,No,3200000,4400,Research-informed synthetic estimate
KHP100773,Thiruvananthapuram,Kazhakoottam,Semi-Urban,Apartment,3601,5,4,11,1,Unfurnished,3,1.9,Main Road,No,27580000,6800,Research-informed synthetic estimate
KHP100774,Wayanad,Vythiri,Semi-Urban,Independent House,1275,1,1,29,0,Semi-Furnished,0,11.7,Highway Access,No,4770000,4700,Research-informed synthetic estimate
KHP100775,Kottayam,Ettumanoor,Semi-Urban,Independent House,1843,2,2,26,2,Unfurnished,2,4.7,Main Road,No,6190000,3900,Research-informed synthetic estimate
KHP100776,Kollam,Kottarakkara,Rural,Independent House,3856,6,5,28,2,Semi-Furnished,0,11.0,Main Road,No,11760000,3400,Research-informed synthetic estimate
KHP100777,Thiruvananthapuram,Kowdiar,Urban,Independent House,3403,6,5,28,3,Semi-Furnished,0,1.0,Local Road,No,32360000,9000,Research-informed synthetic estimate
KHP100778,Alappuzha,Ambalappuzha,Semi-Urban,Villa,1945,2,2,14,0,Semi-Furnished,2,3.7,Main Road,No,6950000,3400,Research-informed synthetic estimate
KHP100779,Palakkad,Pattambi,Rural,Independent House,1752,3,3,1,0,Unfurnished,1,4.3,Narrow Road,No,3650000,3000,Research-informed synthetic estimate
KHP100780,Kottayam,Pala,Semi-Urban,Independent House,1368,3,2,19,3,Unfurnished,1,2.1,Narrow Road,No,4770000,4200,Research-informed synthetic estimate
KHP100781,Palakkad,Shoranur,Semi-Urban,Villa,911,2,2,23,1,Unfurnished,1,5.1,Main Road,No,2710000,3100,Research-informed synthetic estimate
KHP100782,Kannur,Mattannur,Semi-Urban,Apartment,1359,2,2,1,1,Semi-Furnished,5,0.4,Local Road,No,4360000,3400,Research-informed synthetic estimate
KHP100783,Ernakulam,Perumbavoor,Semi-Urban,Apartment,3610,5,5,12,1,Semi-Furnished,0,7.8,Main Road,Yes,14170000,3600,Research-informed synthetic estimate
KHP100784,Palakkad,Mannarkkad,Rural,Independent House,1140,1,1,12,3,Fully Furnished,1,3.0,Highway Access,Yes,3490000,2800,Research-informed synthetic estimate
KHP100785,Alappuzha,Kayamkulam,Rural,Residential Plot,896,1,1,23,0,Unfurnished,2,3.7,Local Road,No,1700000,3600,Research-informed synthetic estimate
KHP100786,Malappuram,Ponnani,Semi-Urban,Independent House,4129,6,5,12,0,Fully Furnished,0,5.3,Main Road,Yes,18650000,3500,Research-informed synthetic estimate
KHP100787,Wayanad,Ambalavayal,Semi-Urban,Apartment,4038,6,5,9,0,Unfurnished,3,3.2,Highway Access,No,17110000,3200,Research-informed synthetic estimate
KHP100788,Kannur,Taliparamba,Rural,Independent House,2492,3,3,25,1,Semi-Furnished,2,3.6,Main Road,No,7030000,3500,Research-informed synthetic estimate
KHP100789,Malappuram,Ponnani,Semi-Urban,Apartment,3880,6,5,0,1,Unfurnished,7,3.4,Main Road,Yes,18640000,3500,Research-informed synthetic estimate
KHP100790,Palakkad,Ottapalam,Semi-Urban,Independent House,3289,5,5,13,3,Unfurnished,0,5.2,Main Road,No,11240000,3200,Research-informed synthetic estimate
KHP100791,Kozhikode,Chevayur,Semi-Urban,Independent House,2104,3,3,8,2,Unfurnished,1,4.9,Main Road,No,9450000,4700,Research-informed synthetic estimate
KHP100792,Kollam,Chinnakada,Urban,Villa,1688,4,4,0,1,Semi-Furnished,1,7.4,Highway Access,No,11220000,5000,Research-informed synthetic estimate
KHP100793,Thiruvananthapuram,Kazhakkoottam,Semi-Urban,Apartment,2203,4,4,6,0,Semi-Furnished,4,6.4,Narrow Road,Yes,14540000,6800,Research-informed synthetic estimate
KHP100794,Kottayam,Kanjirappally,Rural,Independent House,904,2,2,8,2,Unfurnished,2,4.2,Main Road,Yes,2370000,3000,Research-informed synthetic estimate
KHP100795,Kasaragod,Cheruvathur,Rural,Independent House,1535,2,2,11,2,Semi-Furnished,0,3.9,Local Road,Yes,3920000,2900,Research-informed synthetic estimate
KHP100796,Kozhikode,Thondayad,Semi-Urban,Independent House,1874,4,4,22,1,Fully Furnished,0,3.3,Main Road,Yes,11860000,5000,Research-informed synthetic estimate
KHP100797,Alappuzha,Alappuzha Town,Urban,Independent House,3672,5,5,29,0,Fully Furnished,2,8.4,Local Road,No,20310000,6000,Research-informed synthetic estimate
KHP100798,Kasaragod,Kasaragod Town,Urban,Apartment,1458,3,3,30,0,Unfurnished,3,3.0,Local Road,No,4270000,3600,Research-informed synthetic estimate
KHP100799,Kasaragod,Hosdurg,Semi-Urban,Apartment,1000,2,1,23,0,Unfurnished,1,4.8,Local Road,Yes,2600000,3300,Research-informed synthetic estimate
KHP100800,Kollam,Karunagappally,Semi-Urban,Independent House,2435,4,4,18,3,Semi-Furnished,2,9.2,Local Road,No,7350000,3800,Research-informed synthetic estimate
KHP100801,Thrissur,Muthuvattoor,Semi-Urban,Residential Plot,2885,3,3,1,1,Unfurnished,1,4.2,Highway Access,No,10670000,3500,Research-informed synthetic estimate
KHP100802,Kasaragod,Hosdurg,Semi-Urban,Independent House,1743,3,2,13,0,Unfurnished,2,4.0,Local Road,Yes,4300000,3300,Research-informed synthetic estimate
KHP100803,Kozhikode,Ramanattukara,Semi-Urban,Apartment,1915,3,3,30,2,Unfurnished,4,2.7,Main Road,No,6300000,3900,Research-informed synthetic estimate
KHP100804,Idukki,Kumily,Semi-Urban,Independent House,3355,6,5,20,0,Semi-Furnished,0,16.0,Highway Access,No,11180000,3400,Research-informed synthetic estimate
KHP100805,Alappuzha,Ambalappuzha,Semi-Urban,Independent House,1296,1,1,23,1,Unfurnished,0,13.7,Narrow Road,No,2500000,3400,Research-informed synthetic estimate
KHP100806,Kottayam,Kottayam Town,Urban,Independent House,3790,6,5,24,0,Unfurnished,2,2.9,Narrow Road,No,17140000,5200,Research-informed synthetic estimate
KHP100807,Palakkad,Chittur,Semi-Urban,Independent House,2873,5,4,8,2,Unfurnished,0,4.9,Main Road,No,10280000,2900,Research-informed synthetic estimate
KHP100808,Thrissur,Ollur,Semi-Urban,Independent House,3603,6,5,0,0,Semi-Furnished,2,1.6,Local Road,No,36800000,9000,Research-informed synthetic estimate
KHP100809,Wayanad,Kalpetta,Semi-Urban,Independent House,1959,3,3,29,2,Unfurnished,2,1.7,Local Road,No,6750000,4300,Research-informed synthetic estimate
KHP100810,Pathanamthitta,Pathanamthitta Town,Semi-Urban,Independent House,759,2,2,15,1,Unfurnished,1,3.8,Local Road,Yes,2580000,3800,Research-informed synthetic estimate
KHP100811,Ernakulam,Vyttila,Urban,Independent House,3530,6,5,6,0,Semi-Furnished,1,7.4,Narrow Road,No,29010000,8000,Research-informed synthetic estimate
KHP100812,Wayanad,Ambalavayal,Rural,Independent House,3846,6,5,25,0,Unfurnished,1,1.6,Local Road,Yes,9220000,3200,Research-informed synthetic estimate
KHP100813,Idukki,Adimali,Rural,Independent House,1719,2,2,25,1,Semi-Furnished,1,4.2,Main Road,No,3540000,3000,Research-informed synthetic estimate
KHP100814,Thiruvananthapuram,Sreekaryam,Semi-Urban,Independent House,1052,2,1,4,0,Semi-Furnished,0,3.6,Local Road,No,6030000,6200,Research-informed synthetic estimate
KHP100815,Thiruvananthapuram,Sreekaryam,Rural,Independent House,1996,3,3,3,1,Unfurnished,2,8.4,Main Road,Yes,10480000,6200,Research-informed synthetic estimate
KHP100816,Alappuzha,Cherthala,Rural,Residential Plot,790,1,1,17,0,Semi-Furnished,2,2.3,Main Road,No,2650000,4700,Research-informed synthetic estimate
KHP100817,Thrissur,Kunnamkulam,Semi-Urban,Independent House,3808,6,5,6,0,Unfurnished,0,0.3,Narrow Road,No,11990000,3500,Research-informed synthetic estimate
KHP100818,Alappuzha,Alappuzha Beach,Semi-Urban,Independent House,1746,3,3,24,1,Unfurnished,0,1.2,Local Road,No,7970000,6800,Research-informed synthetic estimate
KHP100819,Kollam,Kavanad,Rural,Residential Plot,3809,5,5,27,0,Fully Furnished,0,1.2,Local Road,No,14540000,5000,Research-informed synthetic estimate
KHP100820,Thiruvananthapuram,Kazhakoottam,Semi-Urban,Independent House,1105,3,3,28,2,Unfurnished,2,5.5,Highway Access,No,6790000,6800,Research-informed synthetic estimate
KHP100821,Wayanad,Ambalavayal,Semi-Urban,Residential Plot,4080,6,5,14,1,Unfurnished,2,5.8,Main Road,No,12610000,3200,Research-informed synthetic estimate
KHP100822,Kasaragod,Hosdurg,Semi-Urban,Residential Plot,2222,4,4,0,1,Semi-Furnished,1,8.7,Main Road,No,6670000,3300,Research-informed synthetic estimate
KHP100823,Wayanad,Panamaram,Rural,Villa,1424,1,1,18,0,Fully Furnished,1,5.0,Main Road,No,3890000,2900,Research-informed synthetic estimate
KHP100824,Kannur,Iritty,Rural,Independent House,1238,2,2,18,1,Semi-Furnished,2,6.6,Local Road,No,2530000,2800,Research-informed synthetic estimate
KHP100825,Ernakulam,Pallikkara,Semi-Urban,Apartment,1703,2,2,28,1,Semi-Furnished,3,1.8,Main Road,No,7360000,4600,Research-informed synthetic estimate
KHP100826,Kollam,Paravur,Rural,Independent House,849,1,1,12,0,Unfurnished,0,3.3,Local Road,No,2190000,3600,Research-informed synthetic estimate
KHP100827,Thiruvananthapuram,Technopark,Semi-Urban,Villa,1540,2,2,0,1,Unfurnished,2,0.5,Narrow Road,No,10900000,7000,Research-informed synthetic estimate
KHP100828,Alappuzha,Alappuzha Beach,Rural,Residential Plot,3826,6,5,22,2,Unfurnished,0,5.7,Main Road,Yes,23140000,6800,Research-informed synthetic estimate
KHP100829,Kannur,Thottada,Rural,Villa,2160,3,3,30,2,Unfurnished,2,1.7,Narrow Road,Yes,6010000,4200,Research-informed synthetic estimate
KHP100830,Palakkad,Ottapalam,Semi-Urban,Villa,2146,4,3,26,1,Unfurnished,2,6.0,Narrow Road,Yes,5640000,3200,Research-informed synthetic estimate
KHP100831,Alappuzha,Muhamma,Rural,Villa,2890,5,5,15,2,Semi-Furnished,1,2.2,Main Road,No,11870000,4000,Research-informed synthetic estimate
KHP100832,Alappuzha,Ambalappuzha,Semi-Urban,Independent House,1468,2,2,28,1,Fully Furnished,2,8.3,Narrow Road,Yes,3440000,3400,Research-informed synthetic estimate
KHP100833,Thiruvananthapuram,Pattom,Urban,Villa,4036,6,5,11,3,Semi-Furnished,0,0.9,Local Road,No,33300000,7200,Research-informed synthetic estimate
KHP100834,Kozhikode,Pantheerankavu,Semi-Urban,Independent House,2083,3,3,20,1,Fully Furnished,2,1.1,Local Road,No,18200000,8500,Research-informed synthetic estimate
KHP100835,Kozhikode,Karaparamba,Rural,Independent House,3105,5,5,15,1,Semi-Furnished,1,3.6,Main Road,No,12280000,4000,Research-informed synthetic estimate
KHP100836,Thiruvananthapuram,Technopark,Rural,Villa,1651,4,3,15,0,Fully Furnished,2,5.9,Highway Access,No,12420000,7000,Research-informed synthetic estimate
KHP100837,Alappuzha,Alappuzha Beach,Semi-Urban,Villa,3251,5,5,13,1,Unfurnished,2,4.1,Main Road,No,25670000,6800,Research-informed synthetic estimate
KHP100838,Palakkad,Mannarkkad,Rural,Residential Plot,2732,4,4,24,2,Semi-Furnished,0,3.7,Local Road,Yes,5130000,2800,Research-informed synthetic estimate
KHP100839,Ernakulam,Pallikkara,Semi-Urban,Apartment,2167,3,3,20,2,Unfurnished,1,2.3,Local Road,No,8650000,4600,Research-informed synthetic estimate
KHP100840,Kasaragod,Bekal,Semi-Urban,Apartment,758,1,1,26,1,Fully Furnished,2,5.3,Narrow Road,No,2670000,4200,Research-informed synthetic estimate
KHP100841,Kasaragod,Kanhangad,Semi-Urban,Independent House,3348,6,5,7,1,Fully Furnished,1,2.9,Main Road,No,13670000,3500,Research-informed synthetic estimate
KHP100842,Wayanad,Panamaram,Rural,Apartment,3031,5,5,24,0,Semi-Furnished,4,1.8,Highway Access,Yes,10230000,2900,Research-informed synthetic estimate
KHP100843,Pathanamthitta,Pathanamthitta Town,Semi-Urban,Independent House,1990,2,2,24,1,Unfurnished,1,2.4,Local Road,No,5780000,3800,Research-informed synthetic estimate
KHP100844,Idukki,Nedumkandam,Rural,Independent House,2114,2,2,10,0,Semi-Furnished,1,4.7,Main Road,No,4940000,2700,Research-informed synthetic estimate
KHP100845,Idukki,Kumily,Semi-Urban,Independent House,1180,1,1,0,2,Unfurnished,1,5.1,Local Road,No,3110000,3400,Research-informed synthetic estimate
KHP100846,Ernakulam,Chottanikkara,Semi-Urban,Villa,1627,2,2,23,3,Unfurnished,2,3.3,Main Road,No,5970000,4200,Research-informed synthetic estimate
KHP100847,Thrissur,Kodungallur,Semi-Urban,Apartment,3205,4,4,7,2,Unfurnished,5,0.7,Main Road,No,12760000,3600,Research-informed synthetic estimate
KHP100848,Pathanamthitta,Adoor,Rural,Independent House,2608,3,3,14,1,Fully Furnished,1,5.1,Local Road,Yes,8850000,3900,Research-informed synthetic estimate
KHP100849,Kottayam,Kottayam Town,Urban,Residential Plot,1107,1,1,19,0,Unfurnished,0,8.6,Local Road,No,4360000,5200,Research-informed synthetic estimate
KHP100850,Kannur,Thottada,Semi-Urban,Apartment,3193,5,5,22,1,Semi-Furnished,1,1.0,Local Road,No,13570000,4200,Research-informed synthetic estimate
KHP100851,Thrissur,Thrissur Town,Urban,Villa,843,2,2,10,0,Fully Furnished,2,1.9,Narrow Road,Yes,4310000,5000,Research-informed synthetic estimate
KHP100852,Kasaragod,Kasaragod Town,Urban,Independent House,3378,6,5,28,2,Unfurnished,0,1.3,Main Road,No,11520000,3600,Research-informed synthetic estimate
KHP100853,Wayanad,Sulthan Bathery,Semi-Urban,Residential Plot,2343,4,4,24,2,Unfurnished,2,0.3,Local Road,No,4860000,3900,Research-informed synthetic estimate
KHP100854,Thiruvananthapuram,Vazhuthacaud,Urban,Independent House,679,1,1,16,1,Semi-Furnished,1,4.9,Local Road,No,4810000,7800,Research-informed synthetic estimate
KHP100855,Thiruvananthapuram,Peroorkada,Semi-Urban,Apartment,1763,3,3,10,2,Unfurnished,6,8.7,Main Road,No,8910000,5900,Research-informed synthetic estimate
KHP100856,Kollam,Asramam,Rural,Villa,4140,6,5,23,2,Unfurnished,2,4.4,Main Road,Yes,22650000,5200,Research-informed synthetic estimate
KHP100857,Kasaragod,Nileshwar,Semi-Urban,Residential Plot,2914,5,5,1,1,Fully Furnished,0,0.5,Main Road,No,10700000,3200,Research-informed synthetic estimate
KHP100858,Idukki,Nedumkandam,Rural,Independent House,1058,3,3,7,1,Fully Furnished,1,4.3,Local Road,No,2740000,2700,Research-informed synthetic estimate
KHP100859,Thiruvananthapuram,Kesavadasapuram,Semi-Urban,Residential Plot,1091,1,1,26,1,Semi-Furnished,1,5.8,Local Road,No,5100000,7000,Research-informed synthetic estimate
KHP100860,Malappuram,Perinthalmanna,Semi-Urban,Apartment,2976,5,5,25,2,Semi-Furnished,6,4.6,Local Road,No,12640000,4500,Research-informed synthetic estimate
KHP100861,Kottayam,Ettumanoor,Semi-Urban,Villa,2470,4,4,18,0,Semi-Furnished,0,5.5,Local Road,Yes,9340000,3900,Research-informed synthetic estimate
KHP100862,Malappuram,Kottakkal,Rural,Residential Plot,4081,6,5,16,1,Fully Furnished,0,0.9,Main Road,No,18510000,4400,Research-informed synthetic estimate
KHP100863,Thiruvananthapuram,Nedumangad,Semi-Urban,Residential Plot,1231,2,2,28,1,Unfurnished,2,2.3,Main Road,No,2290000,3600,Research-informed synthetic estimate
KHP100864,Pathanamthitta,Pandalam,Rural,Independent House,3636,6,5,14,1,Semi-Furnished,2,2.5,Main Road,No,13100000,3400,Research-informed synthetic estimate
